Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::mul,"16384,128;
16384,1",,21.07,39.73,0,22.74,0,0
empty_tensor,,,9.21,9.21,0,0,0,0
aclnnMul,,,9.45,9.45,22.74,22.74,0,0
aten::add,"16384,128;
16384,1;
",,21.29,53.72,0,23.1,0,0
empty_tensor,,,15.53,15.53,0,0,0,0
aclnnAdd,,,16.9,16.9,23.1,23.1,0,0
aten::view,"16384,128;
",,15.43,15.43,0,0,0,0
autograd::engine::evaluate_function: ViewBackward0,,,17.77,54.28,0,0,0,0
ViewBackward0,"1024,2048",,10.92,36.51,0,0,0,0
aten::reshape,"1024,2048;
",,9.03,25.59,0,0,0,0
aten::view,"1024,2048;
",,16.56,16.56,0,0,0,0
autograd::engine::evaluate_function: AddBackward0,,,16.12,111.07,0,15.5,0,0
AddBackward0,"16384,128",,3.66,3.66,0,0,0,0
aten::sum,"16384,128;
;
;
",,45.68,91.29,0,15.5,0,0
empty_tensor,,,28.1,28.1,0,0,0,0
aclnnReduceSum,,,17.51,17.51,15.5,15.5,0,0
autograd::engine::evaluate_function: MulBackward0,,,35.52,181.91,0,49.62,0,0
MulBackward0,"16384,128",,10.33,95.85,0,40.019999999999996,0,0
aten::mul,"16384,128;
16384,128",,23.53,49.64,0,15.28,0,0
empty_tensor,,,15.36,15.36,0,0,0,0
aclnnMul,,,10.75,10.75,15.28,15.28,0,0
aten::mul,"16384,128;
16384,1",,14.83,35.88,0,24.74,0,0
empty_tensor,,,11.66,11.66,0,0,0,0
aclnnMul,,,9.39,9.39,24.74,24.74,0,0
aten::sum,"16384,128;
;
;
",,29.35,50.54,0,9.6,0,0
empty_tensor,,,11.89,11.89,0,0,0,0
aclnnReduceSum,,,9.3,9.3,9.6,9.6,0,0
autograd::engine::evaluate_function: DivBackward0,,,34.54,99.76,0,15.94,0,0
DivBackward0,"16384,128",,13.22,65.22,0,15.94,0,0
aten::div,"16384,128;
",,23.06,52.0,0,15.94,0,0
empty_tensor,,,12.15,12.15,0,0,0,0
aten::item,,,3.02,5.75,0,0,0,0
aten::_local_scalar_dense,,,2.73,2.73,0,0,0,0
aclnnDivs,,,11.04,11.04,15.94,15.94,0,0
autograd::engine::evaluate_function: AddBackward0,,,6.87,8.95,0,0,0,0
AddBackward0,"16384,128",,2.08,2.08,0,0,0,0
autograd::engine::evaluate_function: AddBackward0,,,17.48,19.64,0,0,0,0
AddBackward0,"16384,128",,2.16,2.16,0,0,0,0
autograd::engine::evaluate_function: SubBackward0,,,5.54,7.13,0,0,0,0
SubBackward0,"16384,128",,1.59,1.59,0,0,0,0
autograd::engine::evaluate_function: MulBackward0,,,16.64,99.64,0,27.759999999999998,0,0
MulBackward0,"16384,128",,5.99,83.0,0,27.759999999999998,0,0
aten::mul,"16384,128;
",,37.17,77.01,0,27.759999999999998,0,0
empty_tensor,,,13.72,13.72,0,0,0,0
aten::item,,,2.62,14.8,0,0,0,0
aten::_local_scalar_dense,,,12.18,12.18,0,0,0,0
aclnnMuls,,,11.32,11.32,27.759999999999998,27.759999999999998,0,0
autograd::engine::evaluate_function: RsubBackward1,,,19.8,86.33,0,10.1,0,0
RsubBackward1,"16384,128",,6.13,66.53,0,10.1,0,0
aten::neg,"16384,128",,19.03,60.4,0,10.1,0,0
empty_tensor,,,14.15,14.15,0,0,0,0
aclnnNeg,,,27.22,27.22,10.1,10.1,0,0
autograd::engine::evaluate_function: ReluBackward0,,,33.88,92.8,0,16.9,0,0
ReluBackward0,"16384,128",,10.16,58.92,0,16.9,0,0
aten::threshold_backward,"16384,128;
16384,128;
",,25.03,48.76,0,16.9,0,0
empty_tensor,,,13.18,13.18,0,0,0,0
aclnnThresholdBackward,,,10.55,10.55,16.9,16.9,0,0
autograd::engine::evaluate_function: RsubBackward1,,,18.04,88.03,0,4.1,0,0
RsubBackward1,"16384,128",,5.2,69.99,0,4.1,0,0
aten::neg,"16384,128",,43.59,64.79,0,4.1,0,0
empty_tensor,,,11.46,11.46,0,0,0,0
aclnnNeg,,,9.74,9.74,4.1,4.1,0,0
autograd::engine::evaluate_function: AddBackward0,,,7.5,15.46,0,0,0,0
AddBackward0,"16384,128",,7.96,7.96,0,0,0,0
autograd::engine::evaluate_function: ReluBackward0,,,26.0,81.29,0,8.08,0,0
ReluBackward0,"16384,128",,8.9,55.29,0,8.08,0,0
aten::threshold_backward,"16384,128;
16384,128;
",,21.42,46.39,0,8.08,0,0
empty_tensor,,,14.69,14.69,0,0,0,0
aclnnThresholdBackward,,,10.28,10.28,8.08,8.08,0,0
autograd::engine::evaluate_function: SubBackward0,,,15.64,17.83,0,0,0,0
SubBackward0,"16384,128",,2.19,2.19,0,0,0,0
autograd::engine::evaluate_function: DivBackward0,,,68.75,387.27,0,90.17999999999999,0,0
DivBackward0,"16384,128",,33.63,225.35,0,71.52,0,0
aten::neg,"16384,128",,15.65,38.42,0,4.38,0,0
empty_tensor,,,13.12,13.12,0,0,0,0
aclnnNeg,,,9.65,9.65,4.38,4.38,0,0
aten::div,"16384,128;
16384,1",,20.36,50.58,0,26.0,0,0
empty_tensor,,,20.74,20.74,0,0,0,0
aclnnDiv,,,9.48,9.48,26.0,26.0,0,0
aten::div,"16384,128;
16384,1",,14.01,26.72,0,13.06,0,0
empty_tensor,,,9.89,9.89,0,0,0,0
aclnnDiv,,,2.82,2.82,13.06,13.06,0,0
aten::mul,"16384,128;
16384,128",,12.82,37.15,0,15.14,0,0
empty_tensor,,,8.32,8.32,0,0,0,0
aclnnMul,,,16.01,16.01,15.14,15.14,0,0
aten::div,"16384,128;
16384,1",,13.33,38.85,0,12.94,0,0
empty_tensor,,,8.09,8.09,0,0,0,0
aclnnDiv,,,17.43,17.43,12.94,12.94,0,0
aten::sum,"16384,128;
;
;
",,30.26,58.71,0,15.34,0,0
empty_tensor,,,19.36,19.36,0,0,0,0
aclnnReduceSum,,,9.09,9.09,15.34,15.34,0,0
aten::add_,"16384,1;
16384,1;
",,17.42,34.46,0,3.32,0,0
aclnnInplaceAdd,,,17.04,17.04,3.32,3.32,0,0
autograd::engine::evaluate_function: MulBackward0,,,22.18,100.92,0,9.56,0,0
MulBackward0,"16384,1",,6.84,78.74,0,9.56,0,0
aten::mul,"16384,1;
",,37.47,71.9,0,9.56,0,0
empty_tensor,,,12.87,12.87,0,0,0,0
aten::item,,,3.27,5.39,0,0,0,0
aten::_local_scalar_dense,,,2.12,2.12,0,0,0,0
aclnnMuls,,,16.17,16.17,9.56,9.56,0,0
autograd::engine::evaluate_function: SubBackward0,,,37.61,182.89,0,21.660000000000004,0,0
SubBackward0,"16384,128",,5.44,42.6,0,8.96,0,0
aten::neg,"16384,128",,15.01,37.16,0,8.96,0,0
empty_tensor,,,12.08,12.08,0,0,0,0
aclnnNeg,,,10.07,10.07,8.96,8.96,0,0
aten::sum,"16384,128;
;
;
",,43.67,77.53,0,9.28,0,0
empty_tensor,,,24.43,24.43,0,0,0,0
aclnnReduceSum,,,9.43,9.43,9.28,9.28,0,0
aten::add_,"16384,1;
16384,1;
",,16.32,25.15,0,3.42,0,0
aclnnInplaceAdd,,,8.83,8.83,3.42,3.42,0,0
autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,,,20.45,64.35,0,2.26,0,0
torch::autograd::AccumulateGrad,"16384,1",,17.29,43.9,0,2.26,0,0
aten::add_,"16384,1;
16384,1;
",,14.55,26.61,0,2.26,0,0
aclnnInplaceAdd,,,12.06,12.06,2.26,2.26,0,0
autograd::engine::evaluate_function: ViewBackward0,,,9.39,31.12,0,0,0,0
ViewBackward0,"16384,128",,6.16,21.73,0,0,0,0
aten::reshape,"16384,128;
",,4.75,15.57,0,0,0,0
aten::view,"16384,128;
",,10.82,10.82,0,0,0,0
autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,,,35.37,91.74,0,10.96,0,0
torch::autograd::AccumulateGrad,"1024,2048",,23.38,56.37,0,10.96,0,0
aten::add_,"1024,2048;
1024,2048;
",,19.63,32.99,0,10.96,0,0
aclnnInplaceAdd,,,13.36,13.36,10.96,10.96,0,0
autograd::engine::evaluate_function: WhereBackward0,,,32.75,169.58,0,6.26,0,0
WhereBackward0,"16384,1",,6.56,136.83,0,6.26,0,0
aten::where,"16384,1;
16384,1;
",,19.57,130.27,0,6.26,0,0
aten::scalar_tensor,";
;
;
;
",,12.52,65.89,0,1.0,0,0
aten::empty,";
;
;
;
;
",,6.85,26.22,0,0,0,0
empty_tensor,,,19.37,19.37,0,0,0,0
aten::fill_,";
",,16.88,27.15,0,1.0,0,0
aclnnInplaceFillScalar,,,10.27,10.27,1.0,1.0,0,0
aten::to,"16384,1;
;
;
;
",,3.59,3.59,0,0,0,0
aten::where,"16384,1;
16384,1;
",,16.97,41.22,0,5.26,0,0
empty_tensor,,,14.83,14.83,0,0,0,0
aclnnSWhere,,,9.42,9.42,5.26,5.26,0,0
autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,,,7.94,48.96,0,1.68,0,0
torch::autograd::AccumulateGrad,"16384,1",,16.34,41.02,0,1.68,0,0
aten::add_,"16384,1;
16384,1;
",,15.43,24.68,0,1.68,0,0
aclnnInplaceAdd,,,9.25,9.25,1.68,1.68,0,0
aten::empty,";
;
;
;
;
",,14.43,14.43,0,0,0,0
aten::to,";
;
;
;
;
",,5.1,108.75,0,0,0,0
aten::_to_copy,";
;
;
;
;
;
",,11.81,103.65,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,20.97,27.68,0,0,0,0
empty_tensor,,,6.71,6.71,0,0,0,0
aten::copy_,";
;
",,64.16,64.16,0,0,0,0
aten::lift_fresh,,,1.96,1.96,0,0,0,0
aten::detach_,,,2.44,5.89,0,0,0,0
detach_,,,3.45,3.45,0,0,0,0
aten::to,";
;
;
;
",,10.29,10.29,0,0,0,0
aten::gt,"16384,1;
",,36.24,68.63,0,7.5600000000000005,0,0
empty_tensor,,,15.71,15.71,0,0,0,0
aclnnGtTensor,,,16.68,16.68,7.5600000000000005,7.5600000000000005,0,0
aten::where,"16384,1;
16384,1;
",,45.3,68.33,0,10.42,0,0
empty_tensor,,,10.53,10.53,0,0,0,0
aclnnSWhere,,,12.5,12.5,10.42,10.42,0,0
aten::view,"1024,2048;
",,17.49,17.49,0,0,0,0
aten::sub,"16384,128;
16384,1;
",,23.75,49.76,0,23.36,0,0
empty_tensor,,,13.33,13.33,0,0,0,0
aclnnSub,,,12.68,12.68,23.36,23.36,0,0
aten::mul,"16384,1;
",,61.75,104.84,0,6.34,0,0
empty_tensor,,,13.98,13.98,0,0,0,0
aten::item,,,3.5,6.06,0,0,0,0
aten::_local_scalar_dense,,,2.56,2.56,0,0,0,0
aclnnMuls,,,23.05,23.05,6.34,6.34,0,0
aten::div,"16384,128;
16384,1",,25.7,48.33,0,23.16,0,0
empty_tensor,,,11.57,11.57,0,0,0,0
aclnnDiv,,,11.06,11.06,23.16,23.16,0,0
aten::sub,"16384,128;
;
",,24.74,56.05,0,10.18,0,0
empty_tensor,,,11.13,11.13,0,0,0,0
aten::item,,,7.73,9.59,0,0,0,0
aten::_local_scalar_dense,,,1.86,1.86,0,0,0,0
aclnnSubs,,,10.59,10.59,10.18,10.18,0,0
aten::relu,"16384,128",,24.57,45.53,0,8.72,0,0
empty_tensor,,,11.41,11.41,0,0,0,0
aclnnRelu,,,9.55,9.55,8.72,8.72,0,0
aten::add,"16384,128;
;
",,24.57,47.72,0,11.8,0,0
empty_tensor,,,9.99,9.99,0,0,0,0
aten::item,,,2.44,3.77,0,0,0,0
aten::_local_scalar_dense,,,1.33,1.33,0,0,0,0
aclnnAdds,,,9.39,9.39,11.8,11.8,0,0
aten::rsub,"16384,128;
;
",,21.85,42.18,0,9.82,0,0
empty_tensor,,,10.7,10.7,0,0,0,0
aclnnRsubs,,,9.63,9.63,9.82,9.82,0,0
aten::relu,"16384,128",,22.25,42.38,0,4.38,0,0
empty_tensor,,,10.78,10.78,0,0,0,0
aclnnRelu,,,9.35,9.35,4.38,4.38,0,0
aten::rsub,"16384,128;
;
",,30.02,54.66,0,7.44,0,0
empty_tensor,,,12.1,12.1,0,0,0,0
aclnnRsubs,,,12.54,12.54,7.44,7.44,0,0
aten::mul,"16384,128;
",,43.44,66.33,0,27.84,0,0
empty_tensor,,,9.99,9.99,0,0,0,0
aten::item,,,2.61,4.07,0,0,0,0
aten::_local_scalar_dense,,,1.46,1.46,0,0,0,0
aclnnMuls,,,8.83,8.83,27.84,27.84,0,0
aten::sub,"16384,128;
;
",,23.4,51.35,0,7.28,0,0
empty_tensor,,,9.4,9.4,0,0,0,0
aten::item,,,2.23,4.31,0,0,0,0
aten::_local_scalar_dense,,,2.08,2.08,0,0,0,0
aclnnSubs,,,14.24,14.24,7.28,7.28,0,0
aten::round,"16384,128",,21.6,43.78,0,9.4,0,0
empty_tensor,,,10.97,10.97,0,0,0,0
aclnnRound,,,11.21,11.21,9.4,9.4,0,0
aten::sub,"16384,128;
16384,128;
",,21.61,41.27,0,10.9,0,0
empty_tensor,,,11.01,11.01,0,0,0,0
aclnnSub,,,8.65,8.65,10.9,10.9,0,0
aten::detach,"16384,128",,10.73,16.7,0,0,0,0
detach,"16384,128",,5.97,5.97,0,0,0,0
aten::add,"16384,128;
16384,128;
",,21.69,42.16,0,10.8,0,0
empty_tensor,,,11.11,11.11,0,0,0,0
aclnnAdd,,,9.36,9.36,10.8,10.8,0,0
aten::add,"16384,128;
;
",,27.88,51.29,0,6.9,0,0
empty_tensor,,,9.71,9.71,0,0,0,0
aten::item,,,2.67,4.41,0,0,0,0
aten::_local_scalar_dense,,,1.74,1.74,0,0,0,0
aclnnAdds,,,9.29,9.29,6.9,6.9,0,0
aten::div,"16384,128;
",,25.85,55.68,0,9.56,0,0
empty_tensor,,,15.01,15.01,0,0,0,0
aten::item,,,2.83,5.84,0,0,0,0
aten::_local_scalar_dense,,,3.01,3.01,0,0,0,0
aclnnDivs,,,8.98,8.98,9.56,9.56,0,0
aten::mul,"16384,128;
16384,1",,37.68,70.68,0,22.76,0,0
empty_tensor,,,10.85,10.85,0,0,0,0
aclnnMul,,,22.15,22.15,22.76,22.76,0,0
aten::add,"16384,128;
16384,1;
",,24.4,47.44,0,22.6,0,0
empty_tensor,,,12.6,12.6,0,0,0,0
aclnnAdd,,,10.44,10.44,22.6,22.6,0,0
aten::view,"16384,128;
",,15.5,15.5,0,0,0,0
autograd::engine::evaluate_function: ViewBackward0,,,15.54,44.76,0,0,0,0
ViewBackward0,"1024,2048",,9.11,29.22,0,0,0,0
aten::reshape,"1024,2048;
",,6.3,20.11,0,0,0,0
aten::view,"1024,2048;
",,13.81,13.81,0,0,0,0
autograd::engine::evaluate_function: AddBackward0,,,16.13,122.25,0,15.64,0,0
AddBackward0,"16384,128",,3.35,3.35,0,0,0,0
aten::sum,"16384,128;
;
;
",,61.01,102.77,0,15.64,0,0
empty_tensor,,,25.38,25.38,0,0,0,0
aclnnReduceSum,,,16.38,16.38,15.64,15.64,0,0
autograd::engine::evaluate_function: MulBackward0,,,37.57,186.17,0,47.32,0,0
MulBackward0,"16384,128",,12.58,97.93,0,37.7,0,0
aten::mul,"16384,128;
16384,128",,24.76,53.27,0,15.18,0,0
empty_tensor,,,16.03,16.03,0,0,0,0
aclnnMul,,,12.48,12.48,15.18,15.18,0,0
aten::mul,"16384,128;
16384,1",,15.44,32.08,0,22.52,0,0
empty_tensor,,,13.83,13.83,0,0,0,0
aclnnMul,,,2.81,2.81,22.52,22.52,0,0
aten::sum,"16384,128;
;
;
",,28.54,50.67,0,9.62,0,0
empty_tensor,,,10.71,10.71,0,0,0,0
aclnnReduceSum,,,11.42,11.42,9.62,9.62,0,0
autograd::engine::evaluate_function: DivBackward0,,,25.36,81.81,0,9.54,0,0
DivBackward0,"16384,128",,7.28,56.45,0,9.54,0,0
aten::div,"16384,128;
",,21.3,49.17,0,9.54,0,0
empty_tensor,,,10.88,10.88,0,0,0,0
aten::item,,,2.87,5.17,0,0,0,0
aten::_local_scalar_dense,,,2.3,2.3,0,0,0,0
aclnnDivs,,,11.82,11.82,9.54,9.54,0,0
autograd::engine::evaluate_function: AddBackward0,,,8.62,11.02,0,0,0,0
AddBackward0,"16384,128",,2.4,2.4,0,0,0,0
autograd::engine::evaluate_function: AddBackward0,,,5.19,7.19,0,0,0,0
AddBackward0,"16384,128",,2.0,2.0,0,0,0,0
autograd::engine::evaluate_function: SubBackward0,,,5.59,7.12,0,0,0,0
SubBackward0,"16384,128",,1.53,1.53,0,0,0,0
autograd::engine::evaluate_function: MulBackward0,,,16.39,94.6,0,28.14,0,0
MulBackward0,"16384,128",,5.94,78.21,0,28.14,0,0
aten::mul,"16384,128;
",,35.96,72.27,0,28.14,0,0
empty_tensor,,,14.1,14.1,0,0,0,0
aten::item,,,2.24,3.99,0,0,0,0
aten::_local_scalar_dense,,,1.75,1.75,0,0,0,0
aclnnMuls,,,18.22,18.22,28.14,28.14,0,0
autograd::engine::evaluate_function: RsubBackward1,,,16.6,58.64,0,10.14,0,0
RsubBackward1,"16384,128",,4.56,42.04,0,10.14,0,0
aten::neg,"16384,128",,16.21,37.48,0,10.14,0,0
empty_tensor,,,11.43,11.43,0,0,0,0
aclnnNeg,,,9.84,9.84,10.14,10.14,0,0
autograd::engine::evaluate_function: ReluBackward0,,,21.33,71.79,0,17.5,0,0
ReluBackward0,"16384,128",,8.92,50.46,0,17.5,0,0
aten::threshold_backward,"16384,128;
16384,128;
",,20.15,41.54,0,17.5,0,0
empty_tensor,,,11.13,11.13,0,0,0,0
aclnnThresholdBackward,,,10.26,10.26,17.5,17.5,0,0
autograd::engine::evaluate_function: RsubBackward1,,,16.41,53.6,0,4.48,0,0
RsubBackward1,"16384,128",,4.13,37.19,0,4.48,0,0
aten::neg,"16384,128",,13.33,33.06,0,4.48,0,0
empty_tensor,,,10.7,10.7,0,0,0,0
aclnnNeg,,,9.03,9.03,4.48,4.48,0,0
autograd::engine::evaluate_function: AddBackward0,,,5.97,8.05,0,0,0,0
AddBackward0,"16384,128",,2.08,2.08,0,0,0,0
autograd::engine::evaluate_function: ReluBackward0,,,20.32,67.24,0,8.22,0,0
ReluBackward0,"16384,128",,7.83,46.92,0,8.22,0,0
aten::threshold_backward,"16384,128;
16384,128;
",,17.95,39.09,0,8.22,0,0
empty_tensor,,,10.65,10.65,0,0,0,0
aclnnThresholdBackward,,,10.49,10.49,8.22,8.22,0,0
autograd::engine::evaluate_function: SubBackward0,,,6.17,8.35,0,0,0,0
SubBackward0,"16384,128",,2.18,2.18,0,0,0,0
autograd::engine::evaluate_function: DivBackward0,,,61.03,346.37,0,89.77999999999999,0,0
DivBackward0,"16384,128",,35.86,213.18,0,71.3,0,0
aten::neg,"16384,128",,13.09,33.88,0,4.34,0,0
empty_tensor,,,10.88,10.88,0,0,0,0
aclnnNeg,,,9.91,9.91,4.34,4.34,0,0
aten::div,"16384,128;
16384,1",,18.01,38.21,0,25.16,0,0
empty_tensor,,,10.62,10.62,0,0,0,0
aclnnDiv,,,9.58,9.58,25.16,25.16,0,0
aten::div,"16384,128;
16384,1",,12.22,30.58,0,13.96,0,0
empty_tensor,,,9.25,9.25,0,0,0,0
aclnnDiv,,,9.11,9.11,13.96,13.96,0,0
aten::mul,"16384,128;
16384,128",,14.38,42.54,0,15.26,0,0
empty_tensor,,,9.43,9.43,0,0,0,0
aclnnMul,,,18.73,18.73,15.26,15.26,0,0
aten::div,"16384,128;
16384,1",,15.23,32.11,0,12.58,0,0
empty_tensor,,,8.67,8.67,0,0,0,0
aclnnDiv,,,8.21,8.21,12.58,12.58,0,0
aten::sum,"16384,128;
;
;
",,29.26,47.87,0,15.16,0,0
empty_tensor,,,10.04,10.04,0,0,0,0
aclnnReduceSum,,,8.57,8.57,15.16,15.16,0,0
aten::add_,"16384,1;
16384,1;
",,15.75,24.29,0,3.32,0,0
aclnnInplaceAdd,,,8.54,8.54,3.32,3.32,0,0
autograd::engine::evaluate_function: MulBackward0,,,20.39,89.76,0,9.58,0,0
MulBackward0,"16384,1",,7.02,69.37,0,9.58,0,0
aten::mul,"16384,1;
",,34.47,62.35,0,9.58,0,0
empty_tensor,,,12.52,12.52,0,0,0,0
aten::item,,,2.76,5.18,0,0,0,0
aten::_local_scalar_dense,,,2.42,2.42,0,0,0,0
aclnnMuls,,,10.18,10.18,9.58,9.58,0,0
autograd::engine::evaluate_function: SubBackward0,,,34.17,149.84,0,21.919999999999998,0,0
SubBackward0,"16384,128",,4.63,39.24,0,9.0,0,0
aten::neg,"16384,128",,14.33,34.61,0,9.0,0,0
empty_tensor,,,11.33,11.33,0,0,0,0
aclnnNeg,,,8.95,8.95,9.0,9.0,0,0
aten::sum,"16384,128;
;
;
",,27.65,47.36,0,9.58,0,0
empty_tensor,,,10.66,10.66,0,0,0,0
aclnnReduceSum,,,9.05,9.05,9.58,9.58,0,0
aten::add_,"16384,1;
16384,1;
",,14.08,29.07,0,3.34,0,0
aclnnInplaceAdd,,,14.99,14.99,3.34,3.34,0,0
autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,,,9.54,48.8,0,2.28,0,0
torch::autograd::AccumulateGrad,"16384,1",,16.03,39.26,0,2.28,0,0
aten::add_,"16384,1;
16384,1;
",,14.01,23.23,0,2.28,0,0
aclnnInplaceAdd,,,9.22,9.22,2.28,2.28,0,0
autograd::engine::evaluate_function: ViewBackward0,,,8.49,29.27,0,0,0,0
ViewBackward0,"16384,128",,5.73,20.78,0,0,0,0
aten::reshape,"16384,128;
",,4.44,15.05,0,0,0,0
aten::view,"16384,128;
",,10.61,10.61,0,0,0,0
autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,,,6.26,47.97,0,11.0,0,0
torch::autograd::AccumulateGrad,"1024,2048",,16.9,41.71,0,11.0,0,0
aten::add_,"1024,2048;
1024,2048;
",,15.32,24.81,0,11.0,0,0
aclnnInplaceAdd,,,9.49,9.49,11.0,11.0,0,0
autograd::engine::evaluate_function: WhereBackward0,,,31.38,192.29,0,6.26,0,0
WhereBackward0,"16384,1",,5.35,160.91,0,6.26,0,0
aten::where,"16384,1;
16384,1;
",,17.69,155.56,0,6.26,0,0
aten::scalar_tensor,";
;
;
;
",,20.65,73.55,0,0.92,0,0
aten::empty,";
;
;
;
;
",,6.02,23.86,0,0,0,0
empty_tensor,,,17.84,17.84,0,0,0,0
aten::fill_,";
",,16.64,29.04,0,0.92,0,0
aclnnInplaceFillScalar,,,12.4,12.4,0.92,0.92,0,0
aten::to,"16384,1;
;
;
;
",,3.01,3.01,0,0,0,0
aten::where,"16384,1;
16384,1;
",,18.54,61.31,0,5.34,0,0
empty_tensor,,,34.29,34.29,0,0,0,0
aclnnSWhere,,,8.48,8.48,5.34,5.34,0,0
